Geography;Sex;Age group (5,6);2010;2011;2012;2013
Nova Scotia;Males;85 years;1080;1110;1099;1227
Nova Scotia;Males;86 years;971;941;989;978
Nova Scotia;Males;87 years;873;839;837;880
Nova Scotia;Males;88 years;771;746;735;734
Nova Scotia;Males;89 years;610;642;641;631
Nova Scotia;Males;90 years;515;504;547;547
Nova Scotia;Males;91 years;405;419;429;466
Nova Scotia;Males;92 years;282;327;342;350
Nova Scotia;Males;93 years;246;216;248;259
Nova Scotia;Males;94 years;125;184;155;178
Nova Scotia;Males;95 years;99;121;116;97
Nova Scotia;Males;96 years;60;70;78;75
Nova Scotia;Males;97 years;39;47;43;48
Nova Scotia;Males;98 years;37;32;29;27
Nova Scotia;Males;99 years;21;19;21;19
